Time,Activity,Individual/Group
9:00 - 10:00 AM,Individual Work (Coding Projects),Individual
10:00 - 11:00 AM,Group Work (Review/Discuss Tasks),Together
11:00 AM - 12:00 PM,Individual Work (Continue Tasks),Individual
12:00 - 12:30 PM,Lunch Break,Together
12:30 - 2:30 PM,Individual Work (Continue Tasks),Individual
2:30 - 2:45 PM,Short Break,Together
2:45 - 3:00 PM,Individual Work (Finish Tasks),Individual
3:00 - 3:30 PM,Pick up dog from parents,Together
3:30 - 4:00 PM,Pick up prescription,Together
4:00 - 5:00 PM,Group Work (Review/Plan),Together
5:00 - 6:00 PM,Relaxation / Free Time,Individual
6:00 - 6:30 PM,Dinner Break,Together
6:30 - 8:00 PM,"Joint Activity (Dog walk, etc.)",Together
8:00 - 9:00 PM,Reading Time,Individual